# 台積電每月營收公布日, 來源: 公開資訊觀測站重大訊息 (co_id=2330). 時間用 13:30 (使用者規則), source 欄是 MOPS 申報時間.
datetime,name,tier,tz,source
2017-01-10 13:30,TSMC_REV,normal,TW,台積公司2016年12月營收報告 MOPS 16:51
2017-02-10 13:30,TSMC_REV,normal,TW,台積公司2017年1月營收報告 MOPS 15:52
2017-03-10 13:30,TSMC_REV,normal,TW,台積公司2017年2月營收報告 MOPS 16:31
2017-04-10 13:30,TSMC_REV,normal,TW,台積公司2017年3月營收報告 MOPS 17:16
2017-05-10 13:30,TSMC_REV,normal,TW,台積公司2017年4月營收報告 MOPS 18:13
2017-06-09 13:30,TSMC_REV,normal,TW,台積公司2017年5月營收報告 MOPS 16:34
2017-07-10 13:30,TSMC_REV,normal,TW,台積公司2017年6月營收報告 MOPS 14:31
2017-08-10 13:30,TSMC_REV,normal,TW,台積公司2017年7月營收報告 MOPS 13:55
2017-09-08 13:30,TSMC_REV,normal,TW,台積公司2017年8月營收報告 MOPS 17:24
2017-10-06 13:30,TSMC_REV,normal,TW,台積公司2017年9月營收報告 MOPS 14:21
2017-11-10 13:30,TSMC_REV,normal,TW,台積公司2017年10月營收報告 MOPS 13:53
2017-12-08 13:30,TSMC_REV,normal,TW,台積公司2017年11月營收報告 MOPS 16:51
2018-01-10 13:30,TSMC_REV,normal,TW,台積公司2017年12月營收報告 MOPS 14:47
2018-02-09 13:30,TSMC_REV,normal,TW,台積公司2018年1月營收報告 MOPS 16:53
2018-03-09 13:30,TSMC_REV,normal,TW,台積公司2018年2月營收報告 MOPS 16:13
2018-04-10 13:30,TSMC_REV,normal,TW,台積公司2018年3月營收報告 MOPS 16:05
2018-05-10 13:30,TSMC_REV,normal,TW,台積公司2018年4月營收報告 MOPS 14:51
2018-06-08 13:30,TSMC_REV,normal,TW,台積公司2018年5月營收報告 MOPS 14:23
2018-07-10 13:30,TSMC_REV,normal,TW,台積公司2018年6月營收報告 MOPS 13:40
2018-08-10 13:30,TSMC_REV,normal,TW,台積公司2018年7月營收報告 MOPS 14:49
2018-09-10 13:30,TSMC_REV,normal,TW,台積公司2018年8月營收報告 MOPS 13:54
2018-10-09 13:30,TSMC_REV,normal,TW,台積公司2018年9月營收報告 MOPS 14:20
2018-11-09 13:30,TSMC_REV,normal,TW,台積公司2018年10月營收報告 MOPS 14:32
2018-12-10 13:30,TSMC_REV,normal,TW,台積公司2018年11月營收報告 MOPS 14:24
2019-01-10 13:30,TSMC_REV,normal,TW,台積公司2018年12月營收報告 MOPS 14:29
2019-02-15 13:30,TSMC_REV,normal,TW,台積公司2019年1月營收報告 MOPS 14:25
2019-03-08 13:30,TSMC_REV,normal,TW,台積公司2019年2月營收報告 MOPS 14:16
2019-04-10 13:30,TSMC_REV,normal,TW,台積公司2019年3月營收報告 MOPS 13:54
2019-05-10 13:30,TSMC_REV,normal,TW,台積公司2019年4月營收報告 MOPS 13:42
2019-06-10 13:30,TSMC_REV,normal,TW,台積公司2019年5月營收報告 MOPS 14:40
2019-07-10 13:30,TSMC_REV,normal,TW,台積公司2019年6月營收報告 MOPS 14:21
2019-08-12 13:30,TSMC_REV,normal,TW,台積公司2019年7月營收報告 MOPS 13:56
2019-09-10 13:30,TSMC_REV,normal,TW,台積公司2019年8月營收報告 MOPS 14:31
2019-10-09 13:30,TSMC_REV,normal,TW,台積公司2019年9月營收報告 MOPS 13:45
2019-11-08 13:30,TSMC_REV,normal,TW,台積公司2019年10月營收報告 MOPS 16:28
2019-12-10 13:30,TSMC_REV,normal,TW,台積公司2019年11月營收報告 MOPS 15:37
2020-01-10 13:30,TSMC_REV,normal,TW,台積公司2019年12月營收報告 MOPS 13:51
2020-02-10 13:30,TSMC_REV,normal,TW,台積公司2020年1月營收報告 MOPS 14:32
2020-03-10 13:30,TSMC_REV,normal,TW,台積公司2020年2月營收報告 MOPS 13:48
2020-04-10 13:30,TSMC_REV,normal,TW,台積公司2020年3月營收報告 MOPS 13:59
2020-05-08 13:30,TSMC_REV,normal,TW,台積公司2020年4月營收報告 MOPS 14:14
2020-06-10 13:30,TSMC_REV,normal,TW,台積公司2020年5月營收報告 MOPS 14:39
2020-07-10 13:30,TSMC_REV,normal,TW,台積公司2020年6月營收報告 MOPS 13:51
2020-08-10 13:30,TSMC_REV,normal,TW,台積公司2020年7月營收報告 MOPS 14:51
2020-09-10 13:30,TSMC_REV,normal,TW,台積公司2020年8月營收報告 MOPS 13:43
2020-10-08 13:30,TSMC_REV,normal,TW,台積公司2020年9月營收報告 MOPS 15:55
