# 美國經濟數據公布日期, 來源 ALFRED release calendar (alfred.stlouisfed.org). 時間為美東時間.
datetime,name,tier,tz
2017-01-06 08:30,NFP,big,ET
2017-01-10 10:00,JOLTS,normal,ET
2017-01-13 08:30,PPI,normal,ET
2017-01-18 08:30,CPI,big,ET
2017-02-03 08:30,NFP,big,ET
2017-02-07 10:00,JOLTS,normal,ET
2017-02-14 08:30,PPI,normal,ET
2017-02-15 08:30,CPI,big,ET
2017-03-10 08:30,NFP,big,ET
2017-03-14 08:30,PPI,normal,ET
2017-03-15 08:30,CPI,big,ET
2017-03-16 10:00,JOLTS,normal,ET
2017-04-07 08:30,NFP,big,ET
2017-04-11 10:00,JOLTS,normal,ET
2017-04-13 08:30,PPI,normal,ET
2017-04-14 08:30,CPI,big,ET
2017-05-05 08:30,NFP,big,ET
2017-05-09 10:00,JOLTS,normal,ET
2017-05-11 08:30,PPI,normal,ET
2017-05-12 08:30,CPI,big,ET
2017-06-02 08:30,NFP,big,ET
2017-06-06 10:00,JOLTS,normal,ET
2017-06-13 08:30,PPI,normal,ET
2017-06-14 08:30,CPI,big,ET
2017-07-07 08:30,NFP,big,ET
2017-07-11 10:00,JOLTS,normal,ET
2017-07-13 08:30,PPI,normal,ET
2017-07-14 08:30,CPI,big,ET
2017-08-04 08:30,NFP,big,ET
2017-08-08 10:00,JOLTS,normal,ET
2017-08-10 08:30,PPI,normal,ET
2017-08-11 08:30,CPI,big,ET
2017-09-01 08:30,NFP,big,ET
2017-09-12 10:00,JOLTS,normal,ET
2017-09-13 08:30,PPI,normal,ET
2017-09-14 08:30,CPI,big,ET
2017-10-06 08:30,NFP,big,ET
2017-10-11 10:00,JOLTS,normal,ET
2017-10-12 08:30,PPI,normal,ET
2017-10-13 08:30,CPI,big,ET
2017-11-03 08:30,NFP,big,ET
2017-11-07 10:00,JOLTS,normal,ET
2017-11-14 08:30,PPI,normal,ET
2017-11-15 08:30,CPI,big,ET
2017-12-08 08:30,NFP,big,ET
2017-12-11 10:00,JOLTS,normal,ET
2017-12-12 08:30,PPI,normal,ET
2017-12-13 08:30,CPI,big,ET
2018-01-05 08:30,NFP,big,ET
2018-01-09 10:00,JOLTS,normal,ET
2018-01-11 08:30,PPI,normal,ET
2018-01-12 08:30,CPI,big,ET
2018-02-02 08:30,NFP,big,ET
2018-02-06 10:00,JOLTS,normal,ET
2018-02-14 08:30,CPI,big,ET
2018-02-15 08:30,PPI,normal,ET
